"CYR_Keyfield","Date","CYR","Season","Month","JDay","Time","Site","area_sampled","num","den","temp","DO","pH","sal","prop_sg","ave_tt","ave_hw","sed_depth","water_depth","bottom_canopy","fCYR","fSeason","fSite","DateTime","Time2","DoY","ToD"
"C-2008-1-13-8","2008-01-13",2008,"DRY",1,1078,"1899-12-31 09:38:00",8,3,0,0,22.49,4.15,7.63,30.97,0.108140147523709,8.21,0,2,36,NA,"2008","DRY","8",1899-12-31 09:38:00,"09:38",365,9.63333333333333
"C-2008-1-7-41","2008-01-07",2008,"DRY",1,1072,"1899-12-31 13:58:00",41,3,0,0,22.37,NA,8.42,24.27,0.130257801899593,9.5,0.1,86,42,NA,"2008","DRY","41",1899-12-31 13:58:00,"13:58",365,13.9666666666667
"C-2008-1-7-42","2008-01-07",2008,"DRY",1,1072,"1899-12-31 13:24:00",42,3,0,0,21.05,NA,8.37,24.46,0.119601328903654,7.2,0,102,98,NA,"2008","DRY","42",1899-12-31 13:24:00,"13:24",365,13.4
"C-2008-1-7-43","2008-01-07",2008,"DRY",1,1072,"1899-12-31 12:49:00",43,3,0,0,22.05,NA,8.34,24.4,0.145695364238411,11,0,82,58,NA,"2008","DRY","43",1899-12-31 12:49:00,"12:49",365,12.8166666666667
"C-2008-1-7-44","2008-01-07",2008,"DRY",1,1072,"1899-12-31 12:01:00",44,3,0,0,20.76,NA,8.28,24.84,0.276341948310139,10.3,3.6,99,49,NA,"2008","DRY","44",1899-12-31 12:01:00,"12:01",365,12.0166666666667
"C-2008-1-7-45","2008-01-07",2008,"DRY",1,1072,"1899-12-31 11:27:00",45,3,0,0,20.4,NA,8.32,25.77,0.274663677130045,24.5,0,92,78,NA,"2008","DRY","45",1899-12-31 11:27:00,"11:27",365,11.45
"C-2008-1-7-46","2008-01-07",2008,"DRY",1,1072,"1899-12-31 10:43:00",46,3,2,0.666666666666667,19.71,NA,8.32,26.06,0.499868455669561,19,0,102,78,NA,"2008","DRY","46",1899-12-31 10:43:00,"10:43",365,10.7166666666667
"C-2008-1-7-47","2008-01-07",2008,"DRY",1,1072,"1899-12-31 09:46:00",47,3,0,0,19,NA,8.02,27.46,0.725,72.5,0,68,100,NA,"2008","DRY","47",1899-12-31 09:46:00,"09:46",365,9.76666666666667
"C-2008-1-8-30","2008-01-08",2008,"DRY",1,1073,"1899-12-31 13:59:00",30,3,0,0,22.93,NA,8.32,21.85,0.467213114754098,0.2,5.5,31,52,NA,"2008","DRY","30",1899-12-31 13:59:00,"13:59",365,13.9833333333333
"C-2008-1-8-31","2008-01-08",2008,"DRY",1,1073,"1899-12-31 13:26:00",31,3,0,0,22.38,NA,8.26,22.08,0.113960113960114,1.5,2.5,46,81,NA,"2008","DRY","31",1899-12-31 13:26:00,"13:26",365,13.4333333333333
"C-2008-1-8-32","2008-01-08",2008,"DRY",1,1073,"1899-12-31 14:33:00",32,3,0,0,23.44,NA,8.39,21.37,0.487730061349693,1.3,30.5,130,60,NA,"2008","DRY","32",1899-12-31 14:33:00,"14:33",365,14.55
"C-2008-1-8-33","2008-01-08",2008,"DRY",1,1073,"1899-12-31 12:48:00",33,3,0,0,21.53,NA,8.28,19.87,0.514563106796116,4,22.5,31,79,NA,"2008","DRY","33",1899-12-31 12:48:00,"12:48",365,12.8
"C-2008-1-8-34","2008-01-08",2008,"DRY",1,1073,"1899-12-31 12:21:00",34,3,0,0,21.97,NA,8.34,21.44,0.5,5.7,24,23,81,NA,"2008","DRY","34",1899-12-31 12:21:00,"12:21",365,12.35
"C-2008-1-8-35","2008-01-08",2008,"DRY",1,1073,"1899-12-31 11:46:00",35,3,0,0,21.37,NA,8.3,19.58,0.542105263157895,8,43.5,38,72,NA,"2008","DRY","35",1899-12-31 11:46:00,"11:46",365,11.7666666666667
"C-2008-1-8-36","2008-01-08",2008,"DRY",1,1073,"1899-12-31 10:02:00",36,3,0,0,20.86,NA,8.08,18.92,0.521621621621622,4.1,34.5,40,79,NA,"2008","DRY","36",1899-12-31 10:02:00,"10:02",365,10.0333333333333
"C-2008-1-8-37","2008-01-08",2008,"DRY",1,1073,"1899-12-31 11:06:00",37,3,1,0.333333333333333,21.2,NA,8.24,19.47,0.590551181102362,2,20.5,32,80,NA,"2008","DRY","37",1899-12-31 11:06:00,"11:06",365,11.1
"C-2008-1-8-38","2008-01-08",2008,"DRY",1,1073,"1899-12-31 09:28:00",38,3,1,0.333333333333333,20.5,NA,8.3,20.25,0.374581939799331,2,9.2,36,108,NA,"2008","DRY","38",1899-12-31 09:28:00,"09:28",365,9.46666666666667
"C-2008-1-8-39","2008-01-08",2008,"DRY",1,1073,"1899-12-31 08:49:00",39,3,0,0,20.07,NA,8.36,18.19,0.169491525423729,6,0,52,88,NA,"2008","DRY","39",1899-12-31 08:49:00,"08:49",365,8.81666666666667
"C-2008-1-8-40","2008-01-08",2008,"DRY",1,1073,"1899-12-31 07:53:00",40,3,0,0,20.53,NA,8.38,24.09,0.246575342465753,18,0,80,90,NA,"2008","DRY","40",1899-12-31 07:53:00,"07:53",365,7.88333333333333
"C-2008-1-9-18","2008-01-09",2008,"DRY",1,1074,"1899-12-31 14:11:00",18,3,0,0,23.62,10.62,8.46,26.79,0.013550135501355,0,1,11,52,NA,"2008","DRY","18",1899-12-31 14:11:00,"14:11",365,14.1833333333333
"C-2008-1-9-19","2008-01-09",2008,"DRY",1,1074,"1899-12-31 13:37:00",19,3,0,0,24.02,9.81,8.38,26.39,0,0,0,11,65,NA,"2008","DRY","19",1899-12-31 13:37:00,"13:37",365,13.6166666666667
"C-2008-1-9-20","2008-01-09",2008,"DRY",1,1074,"1899-12-31 13:06:00",20,3,0,0,23.17,10.35,8.41,24.15,0.273242630385488,0,2.41,32,75,NA,"2008","DRY","20",1899-12-31 13:06:00,"13:06",365,13.1
"C-2008-1-9-21","2008-01-09",2008,"DRY",1,1074,"1899-12-31 12:33:00",21,3,0,0,23.16,8.9,8.33,23.32,0.175257731958763,0,3.4,30,68,NA,"2008","DRY","21",1899-12-31 12:33:00,"12:33",365,12.55
"C-2008-1-9-22","2008-01-09",2008,"DRY",1,1074,"1899-12-31 12:02:00",22,3,1,0.333333333333333,22.79,NA,8.3,23.16,0.285714285714286,0,3,NA,NA,NA,"2008","DRY","22",1899-12-31 12:02:00,"12:02",365,12.0333333333333
"C-2008-1-9-23","2008-01-09",2008,"DRY",1,1074,"1899-12-31 11:21:00",23,3,0,0,22.4,NA,8.2,22.89,0.5,0,13,51,78,NA,"2008","DRY","23",1899-12-31 11:21:00,"11:21",365,11.35
"C-2008-1-9-24","2008-01-09",2008,"DRY",1,1074,"1899-12-31 10:51:00",24,3,0,0,22.2,NA,8.25,22.33,0.447852760736196,0,36.5,37,73,NA,"2008","DRY","24",1899-12-31 10:51:00,"10:51",365,10.85
"C-2008-1-9-25","2008-01-09",2008,"DRY",1,1074,"1899-12-31 10:21:00",25,3,0,0,21.53,NA,8.22,21.27,0.0228758169934641,0,0.7,34,68,NA,"2008","DRY","25",1899-12-31 10:21:00,"10:21",365,10.35
"C-2008-1-9-26","2008-01-09",2008,"DRY",1,1074,"1899-12-31 09:51:00",26,3,0,0,21.7,NA,8.27,22.32,0.326460481099656,0,9.5,102,78,NA,"2008","DRY","26",1899-12-31 09:51:00,"09:51",365,9.85
"C-2008-1-9-27","2008-01-09",2008,"DRY",1,1074,"1899-12-31 09:02:00",27,3,0,0,21.25,NA,8.32,22.24,0.418848167539267,1.5,6.5,43,60,NA,"2008","DRY","27",1899-12-31 09:02:00,"09:02",365,9.03333333333333
"C-2008-1-9-28","2008-01-09",2008,"DRY",1,1074,"1899-12-31 08:47:00",28,3,0,0,20.84,NA,8.32,22.71,0.318565400843882,0,15.1,24,68,NA,"2008","DRY","28",1899-12-31 08:47:00,"08:47",365,8.78333333333333
"C-2008-1-9-29","2008-01-09",2008,"DRY",1,1074,"1899-12-31 08:03:00",29,3,0,0,20.48,NA,8.41,22.53,0.133333333333333,0.4,1.6,48,50,NA,"2008","DRY","29",1899-12-31 08:03:00,"08:03",365,8.05
"C-2008-7-1-40","2008-07-01",2008,"WET",7,1248,"1899-12-31 13:45:00",40,3,0,0,32.38,9.45,8.6,25.96,0.323908236594804,19.61,0.222222222222222,41,70,NA,"2008","WET","40",1899-12-31 13:45:00,"13:45",365,13.75
"C-2008-7-1-41","2008-07-01",2008,"WET",7,1248,"1899-12-31 13:16:00",41,3,12,4,32.16,4.3,8.09,26.15,0.045,3.67777777777778,0.111111111111111,56,62,NA,"2008","WET","41",1899-12-31 13:16:00,"13:16",365,13.2666666666667
"C-2008-7-1-42","2008-07-01",2008,"WET",7,1248,"1899-12-31 12:48:00",42,3,7,2.33333333333333,30.96,5.95,8.28,31.5,0.142857142857143,10,0,68,92,NA,"2008","WET","42",1899-12-31 12:48:00,"12:48",365,12.8
"C-2008-7-1-43","2008-07-01",2008,"WET",7,1248,"1899-12-31 12:14:00",43,3,15,5,30.51,4.8,8.09,32.73,0.564356435643564,28.5,0,71,50,NA,"2008","WET","43",1899-12-31 12:14:00,"12:14",365,12.2333333333333
"C-2008-7-1-44","2008-07-01",2008,"WET",7,1248,"1899-12-31 11:43:00",44,3,0,0,29.47,3.59,8.03,33.58,0.134086956521739,2.21,5.5,125,36,NA,"2008","WET","44",1899-12-31 11:43:00,"11:43",365,11.7166666666667
"C-2008-7-1-45","2008-07-01",2008,"WET",7,1248,"1899-12-31 10:56:00",45,3,5,1.66666666666667,30.21,3.88,8.1,33.83,0.138461538461538,11.7,0,NA,NA,NA,"2008","WET","45",1899-12-31 10:56:00,"10:56",365,10.9333333333333
"C-2008-7-1-46","2008-07-01",2008,"WET",7,1248,"1899-12-31 10:28:00",46,3,0,0,29.22,3.87,8.08,33.59,0.420333333333333,12.5,0.11,36,59,NA,"2008","WET","46",1899-12-31 10:28:00,"10:28",365,10.4666666666667
"C-2008-7-1-47","2008-07-01",2008,"WET",7,1248,"1899-12-31 09:47:00",47,3,6,2,28.59,3.49,7.85,33.87,0.316939890710383,24.5,4.5,82,92,NA,"2008","WET","47",1899-12-31 09:47:00,"09:47",365,9.78333333333333
"C-2008-7-17-18","2008-07-17",2008,"WET",7,1264,"1899-12-31 13:46:00",18,3,1,0.333333333333333,31.6,5.19,8.42,10.73,0.000561797752808989,0,0.05,5,50,NA,"2008","WET","18",1899-12-31 13:46:00,"13:46",365,13.7666666666667
"C-2008-7-17-19","2008-07-17",2008,"WET",7,1264,"1899-12-31 13:18:00",19,3,0,0,30.51,5.11,7.97,10.91,0.559440559440559,0,40,40,56,NA,"2008","WET","19",1899-12-31 13:18:00,"13:18",365,13.3
"C-2008-7-17-20","2008-07-17",2008,"WET",7,1264,"1899-12-31 15:53:00",20,3,1,0.333333333333333,31.08,5.55,8.42,23.85,0.342148760330579,0,20.7,20,75,NA,"2008","WET","20",1899-12-31 15:53:00,"15:53",365,15.8833333333333
"C-2008-7-17-21","2008-07-17",2008,"WET",7,1264,"1899-12-31 12:29:00",21,3,0,0,30.28,4.62,8.13,19.25,0.681751824817518,0.2,0,100,61,NA,"2008","WET","21",1899-12-31 12:29:00,"12:29",365,12.4833333333333
"C-2008-7-17-22","2008-07-17",2008,"WET",7,1264,"1899-12-31 11:54:00",22,3,0,0,30.33,6.55,8.24,22.99,0.411042944785276,0,33.5,20,80,NA,"2008","WET","22",1899-12-31 11:54:00,"11:54",365,11.9
"C-2008-7-17-23","2008-07-17",2008,"WET",7,1264,"1899-12-31 11:34:00",23,3,0,0,29.97,4.9,7.96,16.55,0.366666666666667,0,22,65,72,NA,"2008","WET","23",1899-12-31 11:34:00,"11:34",365,11.5666666666667
"C-2008-7-17-24","2008-07-17",2008,"WET",7,1264,"1899-12-31 11:01:00",24,3,0,0,29.15,5.19,7.93,15.24,0.113274336283186,0,6.4,53,79,NA,"2008","WET","24",1899-12-31 11:01:00,"11:01",365,11.0166666666667
"C-2008-7-17-25","2008-07-17",2008,"WET",7,1264,"1899-12-31 10:53:00",25,3,0,0,28.93,5.5,7.95,15.56,0.445454545454545,0,24.5,40,69,NA,"2008","WET","25",1899-12-31 10:53:00,"10:53",365,10.8833333333333
"C-2008-7-17-26","2008-07-17",2008,"WET",7,1264,"1899-12-31 10:28:00",26,3,0,0,29.35,6.18,8.18,22.2,0.455696202531646,0,18,53,70,NA,"2008","WET","26",1899-12-31 10:28:00,"10:28",365,10.4666666666667
"C-2008-7-17-27","2008-07-17",2008,"WET",7,1264,"1899-12-31 10:05:00",27,3,0,0,28.995,5.22,8.17,25.47,0.544827586206897,0,39.5,40,80,NA,"2008","WET","27",1899-12-31 10:05:00,"10:05",365,10.0833333333333
"C-2008-7-17-28","2008-07-17",2008,"WET",7,1264,"1899-12-31 09:42:00",28,3,2,0.666666666666667,28.85,5.05,8.14,25.88,0.366129032258064,0,22.7,35,87,NA,"2008","WET","28",1899-12-31 09:42:00,"09:42",365,9.7
"C-2008-7-17-29","2008-07-17",2008,"WET",7,1264,"1899-12-31 09:21:00",29,3,1,0.333333333333333,28.79,4.42,8.08,25.92,0.572649572649573,0,33.5,16,84,NA,"2008","WET","29",1899-12-31 09:21:00,"09:21",365,9.35
"C-2008-7-17-30","2008-07-17",2008,"WET",7,1264,"1899-12-31 08:27:00",30,3,0,0,28.55,5.99,8.07,27.34,0.899145299145299,7.1,45.5,42,79,NA,"2008","WET","30",1899-12-31 08:27:00,"08:27",365,8.45
"C-2008-7-18-10","2008-07-18",2008,"WET",7,1265,"1899-12-31 09:04:00",10,3,5,1.66666666666667,29.5,3.81,7.87,20.69,0.312962962962963,11.3,5.6,54,73,NA,"2008","WET","10",1899-12-31 09:04:00,"09:04",365,9.06666666666667
"C-2008-7-18-11","2008-07-18",2008,"WET",7,1265,"1899-12-31 09:24:00",11,3,0,0,29.59,3.56,7.86,20.62,0.465277777777778,0,33.5,52,70,NA,"2008","WET","11",1899-12-31 09:24:00,"09:24",365,9.4
"C-2008-7-18-12","2008-07-18",2008,"WET",7,1265,"1899-12-31 09:47:00",12,3,0,0,29.84,3.4,7.9,22.26,0.561904761904762,25,22.2,20,94,NA,"2008","WET","12",1899-12-31 09:47:00,"09:47",365,9.78333333333333
"C-2008-7-18-13","2008-07-18",2008,"WET",7,1265,"1899-12-31 10:11:00",13,3,0,0,30.19,3.97,7.98,22.73,0.566993865030675,32.11,14.1,21,81,NA,"2008","WET","13",1899-12-31 10:11:00,"10:11",365,10.1833333333333
"C-2008-7-18-14","2008-07-18",2008,"WET",7,1265,"1899-12-31 10:36:00",14,3,1,0.333333333333333,30.38,4.29,7.97,23.31,0.306432748538012,26.2,0,50,84,NA,"2008","WET","14",1899-12-31 10:36:00,"10:36",365,10.6
"C-2008-7-18-15","2008-07-18",2008,"WET",7,1265,"1899-12-31 10:59:00",15,3,15,5,30.47,5.81,8.09,22.87,0.29253164556962,21.51,1.6,83,90,NA,"2008","WET","15",1899-12-31 10:59:00,"10:59",365,10.9833333333333
"C-2008-7-18-16","2008-07-18",2008,"WET",7,1265,"1899-12-31 11:21:00",16,3,0,0,30.79,4.98,8.03,22.19,0.224242424242424,15.2,3.3,82,79,NA,"2008","WET","16",1899-12-31 11:21:00,"11:21",365,11.35
"C-2008-7-18-17","2008-07-18",2008,"WET",7,1265,"1899-12-31 11:04:00",17,3,1,0.333333333333333,31.12,6.04,8.13,22.3,0.342148760330579,0,20.7,73,92,NA,"2008","WET","17",1899-12-31 11:04:00,"11:04",365,11.0666666666667
"C-2008-7-18-8","2008-07-18",2008,"WET",7,1265,"1899-12-31 08:19:00",8,3,0,0,29.34,4.86,7.94,22.45,0.316666666666667,7.8,2.33333333333333,0,47,NA,"2008","WET","8",1899-12-31 08:19:00,"08:19",365,8.31666666666667
"C-2008-7-18-9","2008-07-18",2008,"WET",7,1265,"1899-12-31 08:44:00",9,3,1,0.333333333333333,29.06,4.16,7.91,21.06,0.352700729927007,10.66,13.5,26,55,NA,"2008","WET","9",1899-12-31 08:44:00,"08:44",365,8.73333333333333
"C-2008-7-21-1","2008-07-21",2008,"WET",7,1268,"1899-12-31 10:52:00",1,3,0,0,30.57,5.57,8.16,29.42,0.701754385964912,0,60,53,71,NA,"2008","WET","1",1899-12-31 10:52:00,"10:52",365,10.8666666666667
"C-2008-7-21-2","2008-07-21",2008,"WET",7,1268,"1899-12-31 10:27:00",2,3,0,0,29.9,5.76,8.27,24.09,0.392771084337349,0,32.6,35,73,NA,"2008","WET","2",1899-12-31 10:27:00,"10:27",365,10.45
"C-2008-7-21-3","2008-07-21",2008,"WET",7,1268,"1899-12-31 09:56:00",3,3,1,0.333333333333333,28.88,5.08,8.09,26.02,0.456140350877193,12,27,63,57,NA,"2008","WET","3",1899-12-31 09:56:00,"09:56",365,9.93333333333333
"C-2008-7-21-4","2008-07-21",2008,"WET",7,1268,"1899-12-31 09:32:00",4,3,0,0,29.68,4.67,8.15,24.02,0.344172661870504,3.12,20.8,1,41,NA,"2008","WET","4",1899-12-31 09:32:00,"09:32",365,9.53333333333333
"C-2008-7-21-5","2008-07-21",2008,"WET",7,1268,"1899-12-31 09:02:00",5,3,1,0.333333333333333,28.87,6.47,8.27,21.45,0.341978021978022,0.11,31.01,62,49,NA,"2008","WET","5",1899-12-31 09:02:00,"09:02",365,9.03333333333333
"C-2008-7-21-6","2008-07-21",2008,"WET",7,1268,"1899-12-31 08:26:00",6,3,0,0,28.34,4.77,8.08,17.72,0.5375,0,43,63,42,NA,"2008","WET","6",1899-12-31 08:26:00,"08:26",365,8.43333333333333
"C-2008-7-21-7","2008-07-21",2008,"WET",7,1268,"1899-12-31 07:45:00",7,3,4,1.33333333333333,28.56,4.22,7.72,25.34,0.376344086021505,31,4,8,66,NA,"2008","WET","7",1899-12-31 07:45:00,"07:45",365,7.75
"C-2008-7-3-31","2008-07-03",2008,"WET",7,1250,"1899-12-31 12:37:00",31,3,0,0,30.72,6.54,8.46,19.44,0.921833333333333,0.31,55,12,92,NA,"2008","WET","31",1899-12-31 12:37:00,"12:37",365,12.6166666666667
"C-2008-7-3-32","2008-07-03",2008,"WET",7,1250,"1899-12-31 12:16:00",32,3,0,0,30.63,8.43,8.52,19.41,0.931972789115646,0,68.5,42,89,NA,"2008","WET","32",1899-12-31 12:16:00,"12:16",365,12.2666666666667
"C-2008-7-3-33","2008-07-03",2008,"WET",7,1250,"1899-12-31 11:49:00",33,3,0,0,29.92,5.19,8.29,20.55,0.854961832061069,0,0,36,109,NA,"2008","WET","33",1899-12-31 11:49:00,"11:49",365,11.8166666666667
"C-2008-7-3-34","2008-07-03",2008,"WET",7,1250,"1899-12-31 11:09:00",34,3,3,1,29.9,6.01,8.35,21.37,0.672909090909091,0.01,37,56,100,NA,"2008","WET","34",1899-12-31 11:09:00,"11:09",365,11.15
"C-2008-7-3-35","2008-07-03",2008,"WET",7,1250,"1899-12-31 10:42:00",35,3,0,0,30.43,5.85,8.3,25.7,0.894267515923567,0.2,70,32,96,NA,"2008","WET","35",1899-12-31 10:42:00,"10:42",365,10.7
"C-2008-7-3-36","2008-07-03",2008,"WET",7,1250,"1899-12-31 09:05:00",36,3,2,0.666666666666667,28.73,5.73,8.12,24.12,0.788505747126437,0.1,68.5,51,80,NA,"2008","WET","36",1899-12-31 09:05:00,"09:05",365,9.08333333333333
"C-2008-7-3-37","2008-07-03",2008,"WET",7,1250,"1899-12-31 10:15:00",37,3,0,0,29.65,5.9,8.17,25.15,0.710526315789474,0,54,46,82,NA,"2008","WET","37",1899-12-31 10:15:00,"10:15",365,10.25
"C-2008-7-3-38","2008-07-03",2008,"WET",7,1250,"1899-12-31 09:16:00",38,3,1,0.333333333333333,29.78,6.15,7.98,25.37,0.61063829787234,4.7,24,47,80,NA,"2008","WET","38",1899-12-31 09:16:00,"09:16",365,9.26666666666667
"C-2008-7-3-39","2008-07-03",2008,"WET",7,1250,"1899-12-31 08:45:00",39,3,1,0.333333333333333,27.92,6.13,7.88,25.1,0.40436170212766,38.01,0,80,80,NA,"2008","WET","39",1899-12-31 08:45:00,"08:45",365,8.75
"C-2009-1-12-38","2009-01-12",2009,"DRY",1,1443,"1899-12-31 14:02:00",38,3,0,0,23.2,9.96025951559376,8.05,17.43,0.134736842105263,0.1,12.7,77,43,NA,"2009","DRY","38",1899-12-31 14:02:00,"14:02",365,14.0333333333333
"C-2009-1-12-39","2009-01-12",2009,"DRY",1,1443,"1899-12-31 13:42:00",39,3,0,0,23.61,9.13057581036987,8.07,21.13,0.0749514563106796,2.6,1.26,60,60,NA,"2009","DRY","39",1899-12-31 13:42:00,"13:42",365,13.7
"C-2009-1-12-40","2009-01-12",2009,"DRY",1,1443,"1899-12-31 13:07:00",40,3,0,0,23.32,7.99727226048632,8.04,27.66,0.351042944785276,28,0.61,55,70,NA,"2009","DRY","40",1899-12-31 13:07:00,"13:07",365,13.1166666666667
"C-2009-1-12-41","2009-01-12",2009,"DRY",1,1443,"1899-12-31 12:44:00",41,3,0,0,23.47,8.86453417838228,8.08,28.21,0.0508021390374332,4.75,0,95,55,NA,"2009","DRY","41",1899-12-31 12:44:00,"12:44",365,12.7333333333333
"C-2009-1-12-42","2009-01-12",2009,"DRY",1,1443,"1899-12-31 12:21:00",42,3,0,0,22.98,11.3423483990963,8.13,28.83,0.0845637583892617,6.3,0,50,110,NA,"2009","DRY","42",1899-12-31 12:21:00,"12:21",365,12.35
"C-2009-1-12-43","2009-01-12",2009,"DRY",1,1443,"1899-12-31 11:58:00",43,3,0,0,22.78,11.6292516731703,8.06,29.08,0.136241610738255,10,0.15,100,70,NA,"2009","DRY","43",1899-12-31 11:58:00,"11:58",365,11.9666666666667
"C-2009-1-12-44","2009-01-12",2009,"DRY",1,1443,"1899-12-31 11:29:00",44,3,0,0,23.24,11.1959120137851,8.05,30.37,0.156603773584906,5.2,7.25,115,50,NA,"2009","DRY","44",1899-12-31 11:29:00,"11:29",365,11.4833333333333
"C-2009-1-12-45","2009-01-12",2009,"DRY",1,1443,"1899-12-31 10:51:00",45,3,0,0,21.94,10.558842612873,8.08,30.36,0.213114754098361,19.5,0,15,75,NA,"2009","DRY","45",1899-12-31 10:51:00,"10:51",365,10.85
"C-2009-1-12-46","2009-01-12",2009,"DRY",1,1443,"1899-12-31 10:32:00",46,3,0,0,22.28,12.6112169075777,8,30.45,0.207650273224044,19,0,30,60,NA,"2009","DRY","46",1899-12-31 10:32:00,"10:32",365,10.5333333333333
"C-2009-1-12-47","2009-01-12",2009,"DRY",1,1443,"1899-12-31 09:54:00",47,3,1,0.333333333333333,22.58,12.035755234171,7.55,31.79,0.470810810810811,43,0.55,68,72,NA,"2009","DRY","47",1899-12-31 09:54:00,"09:54",365,9.9
"C-2009-1-13-30","2009-01-13",2009,"DRY",1,1444,"1899-12-31 10:08:00",30,3,0,0,22.54,9.87583535415623,7.97,19.87,0.13128,3.805,4.4,28,46,NA,"2009","DRY","30",1899-12-31 10:08:00,"10:08",365,10.1333333333333
"C-2009-1-13-31","2009-01-13",2009,"DRY",1,1444,"1899-12-31 09:51:00",31,3,0,0,22.6,15.8656306872644,7.97,20.86,0.18719512195122,4.25,11.05,22,68,NA,"2009","DRY","31",1899-12-31 09:51:00,"09:51",365,9.85
"C-2009-1-13-32","2009-01-13",2009,"DRY",1,1444,"1899-12-31 10:16:00",32,3,0,0,22.59,12.5980253398363,7.92,20.97,0.304635761589404,0,23,79,64,NA,"2009","DRY","32",1899-12-31 10:16:00,"10:16",365,10.2666666666667
