"use_for_analysis","CYR_Keyfield","JDay","Date","DoY","CYR","WYR","Season","Month","Day","Time","Segment","Site","Latitude","Longitude","area_sampled","cat","class","common_name","species","occur","total_count","den","median_count","temp","DO","DO_percent","sal_venice_cat","sal","pH","H2S","water_depth","sed_depth","ave_sav","total_ave_sg","total_ave_ma","prop_sg","prop_ma","ave_tt","ave_hw","ave_sf","ave_rm","SAV_ave_sed_depth","ave_max_canopy_height","bottom_canopy","diet_shrimp","diet_crab","fSeason","fSite","fCYR","Date2","diet_items","fDiet_presence"
"Standard","C-2013-3-11-27",2962,2013-03-11,70,2013,2013,"DRY",3,11,0.416666666666667,"Seg2",27,25.50409,-80.33263,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.8,6.64,87,"polyhaline",26.76,8.22,NA,100,83,49,27.2,12,0.555102040816327,0.244897959183673,6.2,21,0,0,43,24.5,1307.6,1,0,"DRY","27","2013",2013-03-11,1,"food"
"Standard","C-2013-3-11-28",2962,2013-03-11,70,2013,2013,"DRY",3,11,0.431944444444444,"Seg2",28,25.50502,-80.33668,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.8,6.85,90,"polyhaline",26.74,8.32,NA,118,28,31.5,23.5,1.9,0.746031746031746,0.0603174603174603,0,23.5,0,0,41,24.5,559.8,0,0,"DRY","28","2013",2013-03-11,0,"no food"
"Standard","C-2013-3-11-29",2962,2013-03-11,70,2013,2013,"DRY",3,11,0.463194444444444,"Seg2",29,25.50458,-80.33784,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.9,6.63,86.7,"polyhaline",26.85,8.31,NA,118,27,53,28,17,0.528301886792453,0.320754716981132,0,28,0,0,41,21,489.6,1,1,"DRY","29","2013",2013-03-11,2,"food"
"Standard","C-2013-3-11-30",2962,2013-03-11,70,2013,2013,"DRY",3,11,0.482638888888889,"Seg2",30,25.49747,-80.33949,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",1,4,1.33333333333333,1,21.2,7.09,93.5,"polyhaline",27.34,8.35,NA,115,46,57,33,14.6,0.578947368421053,0.256140350877193,0.5,32.5,0,0,44.5,23,1149.9,0,0,"DRY","30","2013",2013-03-11,0,"no food"
"Standard","C-2013-3-11-31",2962,2013-03-11,70,2013,2013,"DRY",3,11,0.501388888888889,"Seg2",31,25.49323,-80.33865,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.4,6.53,87,"polyhaline",27.97,8.26,NA,98,37,40,7,26.6,0.175,0.665,0,7,0,0,52,22.5,845.3,0,0,"DRY","31","2013",2013-03-11,0,"no food"
"Standard","C-2013-3-11-32",2962,2013-03-11,70,2013,2013,"DRY",3,11,0.535416666666667,"Seg2",32,25.49037,-80.34021,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.6,7.04,93.9,"polyhaline",27.33,8.25,NA,102,27,34,26,4.3,0.764705882352941,0.126470588235294,0,26,0,0,24,22.2,1146.8,0,0,"DRY","32","2013",2013-03-11,0,"no food"
"Standard","C-2013-3-11-33",2962,2013-03-11,70,2013,2013,"DRY",3,11,0.555555555555556,"Seg2",33,25.48691,-80.34001,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.4,6.56,86.4,"polyhaline",26.17,8.2,NA,68,52,58.5,43,9.4,0.735042735042735,0.160683760683761,0,43,0,0,16,23,1584.3,1,0,"DRY","33","2013",2013-03-11,1,"food"
"Standard","C-2013-3-11-34",2962,2013-03-11,70,2013,2013,"DRY",3,11,0.570138888888889,"Seg2",34,25.48528,-80.33972,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.6,6.93,90.8,"polyhaline",26,8.22,NA,96,24,30,14.1,10.6,0.47,0.353333333333333,0.6,13.5,0,0,29.5,20.5,873.4,1,1,"DRY","34","2013",2013-03-11,2,"food"
"Standard","C-2013-3-11-35",2962,2013-03-11,70,2013,2013,"DRY",3,11,0.588888888888889,"Seg2",35,25.48025,-80.34035,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.6,6.93,90.3,"polyhaline",23.54,8.17,NA,73,52,45.5,7,32,0.153846153846154,0.703296703296703,0,7,0,0,43.5,11.5,738.4,0,0,"DRY","35","2013",2013-03-11,0,"no food"
"Standard","C-2013-3-12-15",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.411111111111111,"Seg1",15,25.54501,-80.31237,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.8,6.4,85.7,"polyhaline",27.71,8.12,NA,70,83,58,45.6,9.5,0.786206896551724,0.163793103448276,7.2,38.4,0,0,49,11,347.8,0,0,"DRY","15","2013",2013-03-12,0,"no food"
"Standard","C-2013-3-12-16",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.4375,"Seg1",16,25.54039,-80.31284,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.1,6.76,90.9,"polyhaline",27.67,8.08,NA,65,29,41,26.1,11.9,0.636585365853658,0.290243902439024,1.2,24.9,0,0,68,11,373,3,0,"DRY","16","2013",2013-03-12,3,"food"
"Standard","C-2013-3-12-17",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.455555555555556,"Seg1",17,25.53747,-80.31336,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.1,6.57,88.6,"polyhaline",27.68,8.02,NA,110,29,43,21.9,17.6,0.509302325581395,0.409302325581395,10,11.9,0,0,54.5,13,670,1,1,"DRY","17","2013",2013-03-12,2,"food"
"Standard","C-2013-3-12-18",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.482638888888889,"Seg2",18,25.53224,-80.32869,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.2,7.72,98.3,"polyhaline",28.3,8.33,NA,93,45,80.5,45.5,26.1,0.565217391304348,0.324223602484472,0,45.5,0,0,16.5,13,975.1,0,1,"DRY","18","2013",2013-03-12,1,"food"
"Standard","C-2013-3-12-19",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.503472222222222,"Seg2",19,25.52558,-80.33117,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.4,7.21,97.5,"polyhaline",27.44,8.28,NA,103,12,93,36.5,52.1,0.39247311827957,0.560215053763441,0,36.5,0,0,21.5,18.5,1187.1,0,0,"DRY","19","2013",2013-03-12,0,"no food"
"Standard","C-2013-3-12-20",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.527777777777778,"Seg2",20,25.51838,-80.33102,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.5,7.52,101.4,"polyhaline",26.86,8.17,NA,65,62,35,26.5,4.3,0.757142857142857,0.122857142857143,0,26.5,0,0,46,13.5,334.3,0,0,"DRY","20","2013",2013-03-12,0,"no food"
"Standard","C-2013-3-12-21",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.557638888888889,"Seg2",21,25.51649,-80.33384,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.8,7.35,99.6,"polyhaline",26.7,8.35,NA,68,47,72,34,33.6,0.472222222222222,0.466666666666667,0,29.5,0,4.5,37.5,13,899.4,0,0,"DRY","21","2013",2013-03-12,0,"no food"
"Standard","C-2013-3-12-22",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.575694444444444,"Seg2",22,25.51541,-80.33414,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.9,7.56,102.7,"polyhaline",26.66,8.3,NA,68,46,47,34,9.2,0.723404255319149,0.195744680851064,0,32.5,0,1.5,47,14,403,0,2,"DRY","22","2013",2013-03-12,2,"food"
"Standard","C-2013-3-12-23",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.594444444444444,"Seg2",23,25.51443,-80.33481,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.8,7.02,95,"polyhaline",26.63,8.18,NA,62,63,33.5,21.4,9.2,0.638805970149254,0.274626865671642,0,20.9,0,0.5,31,22,23.02,0,0,"DRY","23","2013",2013-03-12,0,"no food"
"Standard","C-2013-3-12-24",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.613194444444444,"Seg2",24,25.51198,-80.33522,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,23.2,7.3,99.5,"polyhaline",26.47,8.13,NA,73,42,62.5,34.5,26.1,0.552,0.4176,0,34.5,0,0,48.5,13,142.3,0,1,"DRY","24","2013",2013-03-12,1,"food"
"Standard","C-2013-3-12-25",2963,2013-03-12,71,2013,2013,"DRY",3,12,0.635416666666667,"Seg2",25,25.50942,-80.33568,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,23,7.03,95.7,"polyhaline",26.61,8.06,NA,65,37,86,25.1,55.6,0.291860465116279,0.646511627906977,0,19.6,0,5.5,47,15.5,539.4,1,0,"DRY","25","2013",2013-03-12,1,"food"
"Standard","C-2013-3-13-10",2964,2013-03-13,72,2013,2013,"DRY",3,13,0.507638888888889,"Seg1",10,25.56928,-80.30264,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",1,2,0.666666666666667,0,22.1,6.58,90.7,"euhaline",31.83,8.03,NA,98,33,71.5,25.1,38.3,0.351048951048951,0.535664335664336,4.1,21,0,0,35.5,15.5,1086.1,1,1,"DRY","10","2013",2013-03-13,2,"food"
"Standard","C-2013-3-13-11",2964,2013-03-13,72,2013,2013,"DRY",3,13,0.529861111111111,"Seg1",11,25.5685,-80.30338,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.5,6.49,90.6,"euhaline",31.8,8.03,NA,75,53,85.5,36,33.3,0.421052631578947,0.389473684210526,7,29,0,0,64.5,12,808.3,0,1,"DRY","11","2013",2013-03-13,1,"food"
"Standard","C-2013-3-13-12",2964,2013-03-13,72,2013,2013,"DRY",3,13,0.572916666666667,"Seg1",12,25.56171,-80.30755,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.7,6.09,84.5,"euhaline",31.37,7.93,NA,87,43,94.5,39,33,0.412698412698413,0.349206349206349,4.5,34.5,0,0,25,17,352.6,2,0,"DRY","12","2013",2013-03-13,2,"food"
"Standard","C-2013-3-13-13",2964,2013-03-13,72,2013,2013,"DRY",3,13,0.593055555555556,"Seg1",13,25.55809,-80.30757,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,22.9,5.44,74.9,"euhaline",31.62,7.72,NA,74,38,75.5,56.1,3.8,0.743046357615894,0.0503311258278146,0.1,56,0,0,50.5,17,1162.1,0,0,"DRY","13","2013",2013-03-13,0,"no food"
"Standard","C-2013-3-13-14",2964,2013-03-13,72,2013,2013,"DRY",3,13,0.631944444444444,"Seg1",14,25.55193,-80.31012,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,23.1,7.3,100.8,"polyhaline",29.4,8.14,NA,67,53,67,25,29.5,0.373134328358209,0.440298507462687,13,12,0,0,61,14,776,2,1,"DRY","14","2013",2013-03-13,3,"food"
"Standard","C-2013-3-13-7",2964,2013-03-13,72,2013,2013,"DRY",3,13,0.422222222222222,"Seg1",7,25.59441,-80.3078,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.6,5.04,69.3,"euhaline",32.44,7.96,NA,84,39,68,49.5,12.5,0.727941176470588,0.183823529411765,0,49.5,0,0,48.5,20,1002.3,4,0,"DRY","7","2013",2013-03-13,4,"food"
"Standard","C-2013-3-13-8",2964,2013-03-13,72,2013,2013,"DRY",3,13,0.46875,"Seg1",8,25.5795,-80.30502,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.6,5.77,78.9,"euhaline",32.06,7.99,NA,71,1,54.5,6.5,42.5,0.119266055045872,0.779816513761468,0.5,6,0,0,4.7,7,968.2,1,0,"DRY","8","2013",2013-03-13,1,"food"
"Standard","C-2013-3-13-9",2964,2013-03-13,72,2013,2013,"DRY",3,13,0.486111111111111,"Seg1",9,25.57382,-80.30349,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.8,5.26,72.3,"euhaline",32.02,7.92,NA,86,14,40.5,11,26.1,0.271604938271605,0.644444444444444,1,10,0,0,12.5,11.5,116.14,0,1,"DRY","9","2013",2013-03-13,1,"food"
"Standard","C-2013-3-14-1",2965,2013-03-14,73,2013,2013,"DRY",3,14,0.548611111111111,"Seg1",1,25.62922,-80.28873,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.9,6.74,93,"euhaline",32.34,8.22,NA,83,96,54.5,42.1,3.1,0.772477064220183,0.0568807339449541,0,41,0,1.1,47,27,1372.8,2,0,"DRY","1","2013",2013-03-14,2,"food"
"Standard","C-2013-3-14-2",2965,2013-03-14,73,2013,2013,"DRY",3,14,0.517361111111111,"Seg1",2,25.62385,-80.29926,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.3,7.49,100.2,"euhaline",31.98,8.3,NA,103,25,47,38.2,0.7,0.812765957446809,0.0148936170212766,0.7,37.5,0,0,46,25,1064.3,1,0,"DRY","2","2013",2013-03-14,1,"food"
"Standard","C-2013-3-14-3",2965,2013-03-14,73,2013,2013,"DRY",3,14,0.493055555555556,"Seg1",3,25.61747,-80.30151,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21,7.62,103.6,"euhaline",32.86,8.26,NA,110,66,74.5,59,3.7,0.791946308724832,0.0496644295302013,27.5,31.5,0,0,52.5,26.5,1128.6,1,1,"DRY","3","2013",2013-03-14,2,"food"
"Standard","C-2013-3-14-4",2965,2013-03-14,73,2013,2013,"DRY",3,14,0.479166666666667,"Seg1",4,25.6159,-80.30295,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.5,7.1,95.7,"euhaline",32.99,8.28,NA,103,17,73.5,37.5,21.4,0.510204081632653,0.291156462585034,1,36.5,0,0,2,15.5,1012.6,0,1,"DRY","4","2013",2013-03-14,1,"food"
"Standard","C-2013-3-14-5",2965,2013-03-14,73,2013,2013,"DRY",3,14,0.454166666666667,"Seg1",5,25.61374,-80.30617,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.4,6.09,81.9,"euhaline",32.32,8.14,NA,83,27,50,40.1,1.7,0.802,0.034,0.1,40,0,0,25,31,960.8,1,1,"DRY","5","2013",2013-03-14,2,"food"
"Standard","C-2013-3-14-6",2965,2013-03-14,73,2013,2013,"DRY",3,14,0.4125,"Seg1",6,25.6093,-80.30727,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,21.6,5.31,71.3,"euhaline",32.16,8.14,NA,66,58,59.5,45,5.2,0.756302521008403,0.0873949579831933,0,45,0,0,24.5,23,653.7,1,0,"DRY","6","2013",2013-03-14,1,"food"
"Standard","C-2013-9-3-39",3138,2013-09-03,246,2013,2014,"WET",9,3,0.386111111111111,"Seg2",39,25.46571,-80.33763,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,29.8,3.77,54.7,"polyhaline",19.89,7.55,NA,85,78,12,8,1,0.666666666666667,0.0833333333333333,0.4,7.6,0,0,28,11,NA,0,0,"WET","39","2013",2013-09-03,0,"no food"
"Standard","C-2013-9-3-40",3138,2013-09-03,246,2013,2014,"WET",9,3,0.415972222222222,"Seg2",40,25.45857,-80.33718,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",1,1,0.333333333333333,0,28.6,4.81,70.3,"polyhaline",22.83,7.7,NA,94,48,78.5,55.7,20.1,0.709554140127389,0.256050955414013,55,0.7,0,0,15.7,28.5,905.6,2,0,"WET","40","2013",2013-09-03,2,"food"
"Standard","C-2013-9-3-41",3138,2013-09-03,246,2013,2014,"WET",9,3,0.435416666666667,"Seg2",41,25.45552,-80.33626,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,28.6,5.74,83.8,"polyhaline",22.27,7.84,NA,75,89,50,33.8,15.3,0.676,0.306,29.5,4.3,0,0,42,25.9,1277.1,0,0,"WET","41","2013",2013-09-03,0,"no food"
"Standard","C-2013-9-3-42",3138,2013-09-03,246,2013,2014,"WET",9,3,0.45625,"Seg2",42,25.45065,-80.33064,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,29.3,5.61,81.1,"polyhaline",18.26,7.76,NA,66,59,45,3.7,35.9,0.0822222222222222,0.797777777777778,3.7,0,0,0,4.2,11.2,326.7,0,0,"WET","42","2013",2013-09-03,0,"no food"
"Standard","C-2013-9-3-43",3138,2013-09-03,246,2013,2014,"WET",9,3,0.474305555555556,"Seg2",43,25.44492,-80.33095,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",1,1,0.333333333333333,0,29.5,5.97,84.2,"polyhaline",18.36,7.77,NA,66,107,51,40.7,8.8,0.798039215686275,0.172549019607843,40.5,0.2,0,0,5,22.5,1602.4,4,0,"WET","43","2013",2013-09-03,4,"food"
"Standard","C-2013-9-3-44",3138,2013-09-03,246,2013,2014,"WET",9,3,0.498611111111111,"Seg2",44,25.44303,-80.33025,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",1,2,0.666666666666667,1,28.9,5.22,75.1,"polyhaline",19.06,7.72,NA,42,127,40.5,34.9,4.3,0.861728395061728,0.106172839506173,31,3.9,0,0,35,20,355.5,4,0,"WET","44","2013",2013-09-03,4,"food"
"Standard","C-2013-9-3-45",3138,2013-09-03,246,2013,2014,"WET",9,3,0.518055555555556,"Seg2",45,25.43772,-80.32407,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",1,1,0.333333333333333,0,28.7,6.33,91.9,"polyhaline",21.34,7.83,NA,61,74,83.1,38.1,40.2,0.458483754512635,0.483754512635379,38,0.1,0,0,5,26,538.4,1,0,"WET","45","2013",2013-09-03,1,"food"
"Standard","C-2013-9-3-46",3138,2013-09-03,246,2013,2014,"WET",9,3,0.536805555555556,"Seg2",46,25.43752,-80.32159,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,29.5,9.09,133,"polyhaline",20.31,8.03,NA,38,2,68.7,42.1,23.1,0.612809315866084,0.336244541484716,23,19.1,0,0,5,7,1664.5,0,0,"WET","46","2013",2013-09-03,0,"no food"
"Standard","C-2013-9-3-47",3138,2013-09-03,246,2013,2014,"WET",9,3,0.559722222222222,"Seg2",47,25.43713,-80.31931,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",1,1,0.333333333333333,0,30.7,6.45,99,"polyhaline",24.88,7.91,NA,71,79,79.5,60.5,18.7,0.761006289308176,0.235220125786164,60.5,0,0,0,5,24.5,NA,0,0,"WET","47","2013",2013-09-03,0,"no food"
"Standard","C-2013-9-4-27",3139,2013-09-04,247,2013,2014,"WET",9,4,0.592361111111111,"Seg2",27,25.50401,-80.33264,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,30.8,6.11,88.1,"mesohaline",13.42,7.86,NA,47,76,60.5,33.8,22.1,0.558677685950413,0.365289256198347,0.3,33.5,0,0,35,22,963.7,1,0,"WET","27","2013",2013-09-04,1,"food"
"Standard","C-2013-9-4-30",3139,2013-09-04,247,2013,2014,"WET",9,4,0.563194444444444,"Seg2",30,25.49725,-80.33932,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,29.6,4.96,70.8,"mesohaline",14.93,7.71,NA,55,61,49.5,31.1,14.9,0.628282828282828,0.301010101010101,0.6,30.5,0,0,27,25.5,NA,0,0,"WET","30","2013",2013-09-04,0,"no food"
"Standard","C-2013-9-4-31",3139,2013-09-04,247,2013,2014,"WET",9,4,0.538888888888889,"Seg2",31,25.49322,-80.33858,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,29.3,4.8,67.4,"mesohaline",12.91,7.7,NA,75,58,66,33,21.9,0.5,0.331818181818182,0,33,0,0,39.5,28.5,386.9,0,0,"WET","31","2013",2013-09-04,0,"no food"
"Standard","C-2013-9-4-32",3139,2013-09-04,247,2013,2014,"WET",9,4,0.517361111111111,"Seg2",32,25.49014,-80.34003,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,29.8,4.59,65,"mesohaline",12.72,7.7,NA,82,27,62.5,27,12.7,0.432,0.2032,0,27,0,0,27,29,267.1,0,0,"WET","32","2013",2013-09-04,0,"no food"
"Standard","C-2013-9-4-33",3139,2013-09-04,247,2013,2014,"WET",9,4,0.495833333333333,"Seg2",33,25.4867,-80.33999,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,28.5,5.07,70,"mesohaline",12.11,7.7,NA,79,27,57,47,4.3,0.824561403508772,0.0754385964912281,0,47,0,0,27,27,198.1,0,0,"WET","33","2013",2013-09-04,0,"no food"
"Standard","C-2013-9-4-34",3139,2013-09-04,247,2013,2014,"WET",9,4,0.477083333333333,"Seg2",34,25.48525,-80.33968,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,28.9,6.19,86.2,"mesohaline",13.19,7.75,NA,87,64,49.5,38.6,3.9,0.77979797979798,0.0787878787878788,12.6,26,0,0,27.5,25,220.8,0,0,"WET","34","2013",2013-09-04,0,"no food"
"Standard","C-2013-9-4-35",3139,2013-09-04,247,2013,2014,"WET",9,4,0.460416666666667,"Seg2",35,25.48014,-80.34032,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,28.5,5.77,79.4,"mesohaline",10.79,7.71,NA,100,34,50,18.2,26.6,0.364,0.532,0,18.2,0,0,35,21.5,808.8,0,0,"WET","35","2013",2013-09-04,0,"no food"
"Standard","C-2013-9-4-38",3139,2013-09-04,247,2013,2014,"WET",9,4,0.379166666666667,"Seg2",38,25.46923,-80.3401,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,27.7,5.6,73.6,"mesohaline",6.01,7.71,NA,82,64,61,40.5,5,0.663934426229508,0.0819672131147541,0,40.5,0,0,40,22,120.9,0,0,"WET","38","2013",2013-09-04,0,"no food"
"Standard","C-2013-9-5-15",3140,2013-09-05,248,2013,2014,"WET",9,5,0.604166666666667,"Seg1",15,25.54488,-80.31221,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,30.2,5.95,88.3,"polyhaline",20.16,7.78,NA,39,94,58.5,30.5,13.94,0.521367521367521,0.238290598290598,30.5,0,0,0,59,14.5,1460,0,0,"WET","15","2013",2013-09-05,0,"no food"
"Standard","C-2013-9-5-16",3140,2013-09-05,248,2013,2014,"WET",9,5,0.588194444444444,"Seg1",16,25.54055,-80.31277,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,30.5,8.06,118.5,"mesohaline",17.77,7.92,NA,68,109,77.5,37.1,26.95,0.478709677419355,0.347741935483871,36,1.1,0,0,62,13.4,636,0,0,"WET","16","2013",2013-09-05,0,"no food"
